Frequency[Hz],Magnitude[dB],Phase[deg]
4.99740592669454,0.488296151615955,-16.968291268654436
5.264442884609516,-0.6103701895199438,-15.869624927518538
5.607776116214485,0.15259254737998595,-21.149327066866054
5.912961210974456,-0.6714072084719381,-21.30191961424604
6.294442579424421,-0.7324442274239326,-21.210364085818046
6.63777581102939,0.2746665852839747,-32.929471724600965
7.057405316324351,0.5493331705679494,-31.220435193945125
7.477034821619312,-0.2441480758079775,-28.10754722739341
7.896664326914274,0.03051850947599719,-29.3282876064333
8.392590105899227,-2.1668141727958004,-48.55494857631153
8.888515884884182,-1.8005920590838342,-34.974211859492776
9.422589800714134,-0.42725913266396065,-34.11969359416486
9.956663716544083,-0.42725913266396065,-40.894802697836234
10.567033906064028,0.6714072084719381,-36.9273964659566
11.177404095583972,0.06103701895199438,-39.15524765770439
11.864070558793909,-2.258369701223792,-49.50102237006744
12.550737022003846,-2.6551103244117553,-44.25183874019592
13.313699758903775,-0.9155552842799157,-44.43494979705191
14.076662495803705,-1.6785180211798454,-56.67287209692678
14.915921506393628,-3.234962004455702,-65.55375835444197
15.793328653828548,-2.3499252296517836,-53.10220648823511
16.74703207495346,-4.333628345591601,-71.10812707907345
17.73888363292337,-3.051850947599719,-58.59553819391461
18.80703146458327,-3.051850947599719,-61.9220557267983
19.913327433088167,-4.3031098361156035,-62.19672231208227
21.09591967528306,-4.089480269783623,-57.06961272011475
22.354808191167944,-2.227851191747795,-79.83642078920865
23.651844843897823,-1.7090365306558426,-76.47938474684895
25.063325907162696,-8.23999755851924,-98.39167455061494
26.55110324411756,-3.662221137119663,-76.052125614185
28.15332499160741,-8.23999755851924,-100.28382213812677
29.793694875942258,-7.4159978026673175,-117.3436689352092
31.586657307657095,-6.317331461531419,-75.44175542466505
33.45591601306192,-5.920590838343455,-98.7578966643269
35.43961912900174,-9.369182409131136,-94.4242683187353
37.537766655476545,-7.904293954283272,-93.56975005340739
39.75035859248634,-7.5991088595233,-98.69685964537491
42.11554307687613,-5.951109347819452,-97.44560075685902
44.6333201086459,-9.704886013367107,-97.14041566209906
47.26554155095065,-7.6906643879512915,-91.70812097537156
50.08850367748039,-11.383404034546952,-96.59108249153111
53.064058351390116,-7.873775444807275,-101.26041444135868
56.19220557267983,-11.658070619830927,-108.24915311136203
59.54924161503952,-11.871700186162906,-119.84618671224096
63.0588702047792,-9.97955259865108,-112.46070741904964
66.79738761558886,-12.207403790398876,-104.2512283700064
70.7647938474685,-10.986663411358988,-99.52085940122683
74.9610889004181,-13.702810754722739,-115.32944730979338
79.4244209112827,-10.193182164983062,-113.9255958738975
84.11664174321726,-15.442365794854577,-125.85833307901241
89.1140476699118,-13.611255226294746,-125.18692587054048
94.41663869136632,-16.93777275917844,-127.84203619495223
99.9862666707358,-17.181920834986418,-120.21240882595293
105.93737601855526,-17.334513382366403,-129.2764061403241
112.23181859797968,-17.944883571886347,-134.12884914700766
118.86959440900907,-15.289773247474592,-132.81655323953976
125.92699972533342,-20.233771782586135,-140.65981017487104
133.40403454695272,-15.808587908566544,-127.0180364391003
141.300698873867,-20.996734519486065,-121.92144535660877
149.69328897976624,-17.761772515030366,-140.50721762749106
158.58180486465042,-17.487105929746388,-146.70247505111848
167.96624652851955,-20.325327311014128,-144.3220313119907
177.92291024506363,-18.79940183721427,-144.5051423688467
188.48994415112767,-23.04147465437788,-169.16409802545243
199.66734824671164,-21.851252784813987,-166.0206915494247
211.49327066866056,-29.75554673909726,-167.0278023621326
224.0440076906644,-24.994659260841697,-172.30750450148014
237.35770744956815,-25.025177770317697,-164.64735862300483
251.43436994537188,-27.680288094729452,-178.1975768303476
266.3121433149205,-27.28354747154149,-166.75313577684864
282.14362010559404,-30.701620532853173,-168.4011352885525
298.85250404370254,-25.54399243140965,-192.11767937253947
316.59138767662586,-30.18280587176122,-200.3576769310587
335.36027100436417,-33.93658253730887,-211.2222663045137
355.23545030060734,-49.531540879543435,-89.0530106509598
376.33136997589037,-36.43910031434064,-115.1768547624134
398.6480300302133,-38.392284920804464,-175.69505905331582
422.29987487411114,-35.126804406872765,-126.65181432538833
447.32505264442887,-34.91317484054078,-108.49330118717
473.8380077517014,-35.30991546372875,-132.75551622058777
501.9531846064638,-40.00976592303232,-202.40241706595052
531.7468794824061,-44.34339426862392,-313.3982360301523
563.2572405163731,-32.28858302560503,-141.02603228858302
596.6750083925901,-29.78606524857326,-116.61122470778525
632.0764793847469,-29.908139286477244,-121.89092684713277
669.5379497665334,-29.66399121066927,-145.75640125736257
709.2501602221747,-32.563249610889,-173.711355937376
751.3275551622058,-32.593768120365,-170.5374309518723
795.8845789971618,-36.43910031434064,-200.17456587420273
843.0738242744225,-31.922360911893062,-177.58720664082765
893.0860316782129,-39.03317361980041,-169.25565355388042
946.035645619068,-39.52146977141636,-188.24182866908782
1002.1515549180579,-30.61006500442518,-205.33219397564625
1061.5863521225624,-39.216284676656386,-253.21573534348585
1124.5307779168065,-43.916135135959955,-264.2634357737968
1191.2518692587055,-35.40147099215674,-257.36625263222146
1261.902218695639,-35.493026520584735,-215.70848719748528
1336.748863185522,-45.28946806237983,-82.4304940946684
1416.0206915494248,-46.35761589403973,-93.14249092074343
